ax,ay,az,gx,gy,gz,id
1.02772,-2.04467,9.54257,65.4824,6.76478,-1.77777,3
0.916451,-1.4333,9.7675,39.3637,6.21353,-2.90652,3
0.922433,-1.40578,9.81655,29.66,5.59228,-2.92402,3
0.915254,-1.40219,9.89312,20.9625,4.83978,-3.04652,3
0.939182,-1.46201,9.9673,13.8138,3.99979,-3.10777,3
0.935593,-1.53739,10.0415,8.70382,3.20354,-3.12527,3
0.942772,-1.60917,10.0822,5.81632,2.24979,-2.94152,3
0.954736,-1.63908,10.1216,4.86258,1.49729,-2.65277,3
0.958325,-1.66899,10.1192,5.38758,0.884795,-2.29402,3
0.972682,-1.65703,10.0941,6.87507,0.464797,-1.86527,3
0.954736,-1.64626,10.0522,8.68632,-0.0514517,-1.40152,3
0.942772,-1.46201,9.90389,10.7426,-0.952699,0.400972,3
0.940379,-1.46321,9.84646,9.93756,-1.10145,1.02222,3
0.939182,-1.45483,9.80698,8.38007,-1.13645,1.38972,3
0.945164,-1.44407,9.77348,5.75507,-1.36395,1.64347,3
0.942772,-1.46082,9.75194,2.85883,-1.31145,1.83597,3
0.939182,-1.5326,9.71605,0.30384,-1.3377,2.04597,3
0.959521,-1.67139,9.69093,-1.6124,-1.0402,2.26472,3
0.972682,-1.78146,9.72562,-2.26865,-0.68145,2.27347,3
0.995414,-1.8676,9.73639,-1.7349,-0.340201,2.10722,3
1.02772,-1.92383,9.77707,-0.562408,0.0622983,1.86222,3
1.05404,-1.85803,9.85364,1.73884,0.386047,0.680971,3
1.06959,-1.7994,9.88714,1.41509,0.193548,0.348472,3
1.06839,-1.87119,9.85962,1.29259,0.377297,-0.00152731,3
1.05763,-1.8006,9.85244,1.07384,0.324797,-0.561526,3
1.04925,-1.75753,9.8333,0.452589,0.0885477,-0.972774,3
1.04088,-1.80299,9.84526,0.12884,-0.0339518,-1.29652,3
1.00977,-1.78983,9.86201,0.452589,-0.0602016,-1.55027,3
0.990628,-1.74796,9.87278,0.925088,-0.0689521,-1.72527,3
0.97986,-1.74317,9.83091,1.79134,0.263547,-1.80402,3
0.969093,-1.66062,9.84048,2.42133,0.263547,-1.81277,3
0.9332,-1.49073,9.84766,3.35758,0.473547,-1.14777,3
0.928415,-1.47996,9.85484,2.92883,0.552296,-0.894025,3
0.947557,-1.45723,9.87278,2.29008,0.569796,-0.596526,3
0.946361,-1.47039,9.90867,1.66884,0.596046,-0.237777,3
0,0,0,0,0,0,3
0,0,0,0,0,0,3
0,0,0,0,0,0,3
0,0,0,0,0,0,3
0,0,0,0,0,0,3
0,0,0,0,0,0,3
0,0,0,0,0,0,3
0,0,0,0,0,0,3
0,0,0,0,0,0,3
